리뷰 문장,sentiment
남산옆이라 교통편이 불편하지않아 좋았구요.,0.987817705
호텔이 조용해서 쉬기 좋았습니다,0.983564913
"안좋은 후기 반 좋은 후기 반이라 반신반의하면서 예약했는데, 결론적으론 괜찮았습니다!",0.988446891
"윗골목에 있어서 역에서 꽤 걸어올라가야 하고, 샤워가운 및 양치도구(샴푸, 린스, 바디워시는 O)없는 점만 제외하면 체크인 빠르고, 방도 깔끔하고 시설도 괜찮았어요",0.991925776
":) 저는 일정 끝나고 딱 깨끗한 곳에서 잠만 자는 게 목적이었어서, 전반적으로 만족했습니다~!",0.992034018
참고로 오는 길에 있는 젤라또가게 맛있습니다 ㅎㅎ,0.988158882
등이 너무 어두운거 빼고 가성비있게 잘 쓰다갑니다~,0.990229547
알고가세요,0.98162055
차라리 바퀴가 돌아다니는게 낫지..,0.985684991
침대에서 흡혈당하니 너무 가렵고 찝찝하네요.,0.993968964
덕분에 혹시나 가방이나 옷에 붙어왔을까봐 그날 가져온 물건들 싹다 세탁돌리고 있네요..ㅎ,0.968934536
가족여행으로 서울 나들이 가서 묵었던 숙소인데 역이랑은 살짝 멀지만 역에서 숙소까지 가는 길에 음식점이 많아서 하루는 숙소 근처에서 밥 먹었어요~,0.990399778
솔직히 침대보에 옅은 얼룩도 있었고 화장실에도 머리카락이 있었지만 그렇다고 막 엄청 더러운 건 아니었고 그냥 무난하게 깔끔한?,0.986180246
2박하면서 불편하다는 생각은 안했어요.,0.980665088
냉장고도 있고 안에 물 4개 들어있고 옷장이랑 옷걸이 있는 건 좋았구 따로 샤워가운은 없었네요.,0.991201758
아 어메니티가 샴푸 린스 바디샤워 1회용 제품만 있습니다.,0.963551164
티비도 잘 나오고 에어컨도 잘 작동되고~ 남산이랑 가까워서 남산타워 가기에도 좋았어요 ㅎㅎ,0.992272139
주말에 낮은 가격대가 다 8-10만원대라 이것저것 검색하다 고른곳인데 역이랑 약간 거리가있지만 오는 길에 맛집이나 밥집도 많고 카페도 곳곳에있어서 좋아요!,0.992109478
:) 방이 넓고 깨끗한 편입니다.,0.990929067
"샴푸,린스,바디워시를 제외하고 따로 어메너티가 없었습니다.",0.976410389
들어오기전에 안내가있던것도 아니라..,0.986879647
개인적으로 가져온 비품들이 있어서 사용했습니다.,0.994053185
냉장고엔 페트병 물 4병있습니다.,0.98491317
옷장이 따로 있어서 좋아요.,0.987431049
에어컨 빵빵하게 나왔습니다.,0.987184584
베개가 빵빵한게 한 침대당 4개씩있어서 너무 좋았어요!,0.992250264
:) 와이파이도 빵빵라게 나왔습니다!,0.991175532
역에서 걸어서 15분 정도고 좀 언덕에 있어서 참고하세요.,0.958243251
3. 프론트에 계신 직원 분들이 모두 상냥하고 친절하십니다.,0.983490348
"4. 어메니티가 비닐로 된 일회용품인데, 치약 칫솔은 제외입니다.",0.99369508
"솔직히 샴푸며 린스며 바디워시가 용기에 담긴 것만큼 사용하기에 편하진 않았는데, 그래도 언제부터 들어있을지 모르는 것보단 좀 더 위생적이겠지요.",0.971470296
5. 침대에 넷플릭스가 있어서 개인 계정을 연동하면 침대에 누워서 편하게 감상할 수 있습니다.,0.98880893
방이며 화장실 자체는 더럽지 않아요....,0.966499507
그런데 우연히 보게 된 베갯잇 속의 베게 상태가.... 영 좋지 않아서...,0.971807599
베개 없이 잤습니다...,0.977138638
근처에 맛있는 식당이 있어요,0.984878361
방음이 잘되는편에요,0.969194353
가성비 있는 호텔입니다,0.971212387
주변경관 때문에 호텔이 아닌 가정집에서 잔 기분이에요,0.992263198
비데도 없습니다.,0.981045723
남산 근처에 먹고 싶은 맛집이 있어서 골랐는데 너무 좋아요.,0.991842508
회현역이서 언덕 올라 이따금 걸어가는게 힘들지만룸 컨디션도 좋고 침구도 호텔식에 푹신푹신 꿀잠 잤습니다.,0.992153585
그리고 직원분도 친절하셔서 다음에 또 방문하고 싶게끔 만들었구요 ㅎㅎ,0.991951108
"근처 맛집도 많고 명동, 신세계 남대문 시장 등등근처 돌아다니기 위치 짱짱인 곳입니다.",0.992134094
조만간 또 가려고 계획 중이에요!!,0.992332697
그리고  카운터에서 칫솔 1개당  천원  냉장고에  생수 2개  숙소가격 싼것  빼고는  별로네요,0.997293651
남산이랑 엄청 가까워서 정말 좋았고 명동도 걸어서 7-8분 이면 갈수있어서 좋았어요,0.992009997
숙소 위치가 좀 구석진곳이라는거 빼고는 다 괜찮았습니당,0.971940994
남산공원과 가깝다는 점이 젤 마음에 들었습니다.,0.976982832
골목길 안이라서 약간 찾기 힘들었지만나름 깔끔하고 주위가 조용해서 잘 자고왔네요,0.991506517
근처공용주차장이용  하루 1만5천2.치솔.면도기 안줌 사야됨.,0.994158983
"시설, 청결, 서비스 좋네요..",0.986244261
처음 가본 곳이라 살짝 염려도 되었지만 우려완 달리 매우 청결하게 정리된 실내.,0.987615228
아침식사도 정갈하게 준비되었고 간단하면서도 먹기 좋게 세팅된 식탁에 만족합니다.,0.992416859
오랜만의 서울나들이를 행복하게 도와주신 귀사의 발전을 기원합니다.,0.983676493
공시되어있는대로 주차할 공간이 없습니다.,0.963776648
주차장이 뭐 따로 커미션 받는지 바로 밑에 있는 주차장으로 안내하는데 할아버지가 주차비 온탕  떼먹을려고 완전 바가지씨우네요,0.994876087
가격도 괜찮고 깨끗하네요,0.973555505
칫솔 폼클렌징 등이 없어서 아쉽네요,0.979139447
깨끗한 편 입니다,0.963290691
조식도 가성비 있구요,0.988829911
생각보다 깨끗하고 친절하고 좋았어요!,0.992116988
그것빼고 주차장빼고 최고,0.9708426
"직원분들 친절, 시설 그럭저럭.  남산 여행이 목적인 분들에게 추천이요~~~",0.988956869
갈끔하고 저렴해서 좋았습니다.,0.989346564
남산 케이블카 근처라 남산 구경 후 이용하면 편리합니다.,0.981521845
금액도 저렴하고 조식도 나쁘지 않았어요,0.991984785
가성비 좋고 조식까지 제공해주니 만족합니다,0.992182076
호텔 창문을 열수가 없을정도로  바로 앞에  아파트가보여  노출이  심하네요,0.997257292
화장실도  환기구 작동이 안되어있네요,0.99354434
복도 깨끗함 룸내 깨끗함 침대 욕실 다 깨끗했음        괜찮았음서비스-직원분들 서비스 정신 아주 굿임,0.99213773
외국직원분도 계신거 같던데 친절했음,0.963156402
이태원에서 가깝고좋아요,0.978343546
호텔 내부나 객실 내부사진은 빡빡한 일정때문에 피곤하고 정신없어 찍지 못했네요ㅡㅜ,0.98408854
호텔 로비와 객실로 이동하는 엘레베이터 전체적으로 청결상태가 좋은듯하구요,0.990972638
객실내부는 외국인도 자주오는 숙소라 그런지 외국인 특유향기?냄새?가 좀 나는듯해서 좀 그랫구요 비오는날가서 좀 쌀쌀했는데 난방도 잘 안되는듯했구요,0.985371232
침대 시트엔 무엇인가묻은 검정때가 잇는부분도 있어서 좀 거슬리긴 했지만 잠자는곳으론 나쁘지않다는생각이네요,0.958439231
조식또한 무료제공되지만 저는 아침일정으로 남대문시장 해장국을 먹어야해서 패스^^남산은 위주로 관광을하신다는분이 계신다면 가격대비 그정돈 괜찮다하며 추천해주고싶은 호텔이였습니다^^,0.990561783
가격대비 시설 및 청결도가 괜찮네요..,0.970011473
아침 조식도 괜찮고요..,0.982308924
이번에 남산타워에 가려고 호텔예약와중에 일게되서 예약하게됬어요,0.978253841
시설및객실 위치등 가격대비 가성비좋았네요,0.982225001
서비스도 우수했습니다,0.990246534
제가ㅈ길치는 아닌데도 고생좀 했고.,0.990027606
결국 경찰관의 안내를 받았네요.ㅎ,0.982929945
언덕에 있어서 올라가기 힘들었지만아주 깨끗하고 아담한 호텔인거 같아요,0.98948878
매우 만족스럽습니다.,0.977858603
최악입니다,0.997176647
지리적인 이점이 있고 편안하게 잘 쉬다 갔습니다.,0.99040246
친절해서 좋았고 생각치않게 오랫동안 머물렀는데 편했어요,0.991804123
일단 너무나도 친절하시고 마주치면 어디서든 웃으면서 인사해주시고 친절함 끝판왕 롯데ㅠㅠㅋㅋㅋㅋ 그리고 객실은 두말하면 잔소리^^ 수영장 말해뭐해~ㅋㅋㅋㅋㅋ밤 수영 꼭 하세요,0.992275894
인생샷 1000000장 건집니다,0.986136436
호캉스 즐길려고 숙박했는데 정말정말 만족스러워요!,0.9922328
방 컨디션도 좋고 조식도 맛있게 먹었어요~,0.99233067
그리고 호텔과 백화점이 연결되어 있어서 백화점 구경하기 편하더라구요,0.985416353
최근에 수영장 리뉴얼 했다고 들었는데 시설 깨끗하고 수영장도 리조트느낌으로 예뻤어요,0.991328657
실내수영장은 넓고 사람도 거의 없어서 실내수영도 많이 하고 신나게  놀았어요,0.968095005
다음에 또 방문할게요!!,0.991156816
아들이랑 둘이 이용했는데 불편함없이 너무 칠절하시고 좋았습니다,0.99145925
남편과 여름휴가로 들렸는데 클럽러운지 이용 알차게하고갑니다,0.957922935
